customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00024,Female,0,No,Yes,57,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,59.15,3299.42,No
C00025,Female,0,Yes,Yes,68,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,110.27,7482.48,No
C00026,Female,0,No,No,38,Yes,No phone service,No,No internet service,Yes,Two year,Yes,Mailed check,40.89,1580.42,No
C00027,Female,0,No,Yes,62,Yes,No phone service,No,No,Yes,Month-to-month,No,Electronic check,87.81,5408.34,No
C00028,Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,One year,Yes,Bank transfer (automatic),32.46,133.6,No
C00029,Female,0,No,Yes,71,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),54.1,3914.59,Yes
C00030,Male,0,Yes,No,50,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,50.76,2687.7,No
C00031,Male,0,No,No,52,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,113.58,5882.39,Yes
C00032,Female,0,Yes,No,26,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),61.65,1571.41,Yes
C00033,Female,0,Yes,Yes,26,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),88.43,2231.83,No
C00034,Female,0,No,No,19,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.45,1468.49,Yes
C00035,Male,0,Yes,Yes,9,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,32.39,215.12,No
C00036,Female,0,No,No,61,Yes,No,DSL,No,No,One year,No,Electronic check,113.83,6878.38,No
C00037,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No,One year,No,Mailed check,53.28,1065.71,No
C00038,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Two year,No,Electronic check,22.57,1049.55,No
C00039,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,Two year,No,Electronic check,48.65,996.88,No
C00040,Male,0,No,No,13,Yes,Yes,DSL,No internet service,Yes,Two year,No,Credit card (automatic),52.23,689.34,No
C00041,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card (automatic),27.46,298.65,No
C00042,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Mailed check,81.24,830.23,No
C00043,Female,0,No,Yes,65,Yes,No phone service,Fiber optic,No,No,Month-to-month,No,Mailed check,53.37,3451.95,No
C00044,Female,1,Yes,No,30,No,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),82.17,2455.82,No
C00045,Female,0,No,No,8,Yes,No phone service,No,No,No internet service,Month-to-month,Yes,Electronic check,18.69,188.53,Yes
C00046,Female,0,No,Yes,21,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Electronic check,118.17,2454.14,No
C00047,Male,0,Yes,No,22,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.39,814.07,No
C00048,Female,0,Yes,No,18,Yes,No phone service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),85.25,1513.51,Yes
C00049,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,91.01,5965.62,No
C00050,Male,1,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),35.5,1650.3,No
C00051,Female,0,Yes,No,44,Yes,No phone service,DSL,No internet service,No,Two year,Yes,Mailed check,29.39,1210.33,No
C00052,Male,0,No,No,9,Yes,Yes,DSL,No internet service,No,One year,Yes,Electronic check,33.56,240.02,No
C00053,Female,1,No,No,67,No,No,Fiber optic,No internet service,No internet service,Two year,Yes,Electronic check,43.18,2804.39,No
C00054,Male,0,Yes,No,54,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,35.16,1848.91,No
C00055,Female,0,Yes,No,26,Yes,No,No,Yes,No,Two year,Yes,Electronic check,86.75,2296.55,No
C00056,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,60.92,1583.5,No
C00057,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,72.85,2457.51,No
C00058,Male,0,Yes,No,8,No,No phone service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.83,148.08,Yes
C00059,Male,1,Yes,No,10,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),105.85,1054.44,No
C00060,Male,0,No,No,48,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card (automatic),35.4,1700.71,No
C00061,Male,0,No,No,55,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,54.74,2954.95,No
C00062,Male,0,No,No,54,Yes,No phone service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),25.33,1391.0,Yes
C00063,Male,0,No,No,40,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,31.95,1261.72,Yes
C00064,Male,0,Yes,Yes,15,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),85.91,1303.49,No
C00065,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Two year,No,Bank transfer (automatic),88.64,1593.92,No
C00066,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),87.05,1931.23,No
C00067,Male,0,Yes,No,62,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),74.32,4672.88,No
C00068,Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),115.16,5296.79,No
C00069,Female,0,Yes,Yes,39,Yes,No,DSL,No internet service,No,Two year,Yes,Credit card (automatic),69.73,2701.09,No
C00070,Female,0,No,No,15,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),63.84,986.73,No
C00071,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,43.25,2234.38,No
C00072,Male,0,No,Yes,64,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Mailed check,28.08,1718.41,No
C00073,Female,1,No,No,63,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.91,4684.16,Yes
C00074,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,Month-to-month,No,Mailed check,50.12,859.25,No
C00075,Female,0,Yes,Yes,70,Yes,No,Fiber optic,No internet service,No,One year,No,Credit card (automatic),71.45,5015.82,No
C00076,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,39.02,2615.61,No
C00077,Female,0,Yes,No,13,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,103.49,1282.06,Yes
C00078,Male,0,Yes,No,47,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),119.97,5620.63,Yes
C00079,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,One year,Yes,Credit card (automatic),50.89,425.11,No
C00080,Male,0,No,No,63,Yes,Yes,DSL,Yes,No,Month-to-month,No,Credit card (automatic),103.92,6598.34,No
C00081,Female,0,No,No,34,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),107.04,3664.06,No
C00082,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,One year,Yes,Bank transfer (automatic),119.6,3519.96,No
C00083,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,Yes,Yes,One year,No,Credit card (automatic),52.96,1928.63,No
C00084,Male,1,No,Yes,43,Yes,No phone service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),95.12,4033.59,No
C00085,Male,0,No,No,64,Yes,No phone service,DSL,Yes,Yes,Two year,No,Credit card (automatic),41.34,2712.21,No
C00086,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,One year,Yes,Electronic check,81.73,1962.83,Yes
C00087,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,89.89,6435.43,No
C00088,Female,0,No,No,34,No,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card (automatic),93.59,3178.81,No
C00089,Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,One year,Yes,Credit card (automatic),39.13,1988.43,No
C00090,Female,0,Yes,No,12,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,104.57,1313.74,No
C00091,Female,1,Yes,No,23,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.94,1393.62,No
C00092,Female,0,Yes,No,13,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),40.07,521.94,No
C00093,Female,0,No,No,45,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,73.34,3301.5,No
C00094,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,106.06,6837.1,No
C00095,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,116.64,5457.98,No
C00096,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No internet service,No,One year,Yes,Bank transfer (automatic),94.32,5442.66,No
C00097,Female,0,Yes,No,5,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,18.57,104.48,No
C00098,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,31.74,117.94,Yes
C00099,Male,1,No,No,60,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Credit card (automatic),25.78,1539.3,No
C00100,Male,0,No,No,21,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),28.32,576.41,Yes
C00101,Female,0,Yes,No,24,No,No phone service,Fiber optic,No,Yes,One year,No,Mailed check,57.07,1373.47,Yes
C00102,Female,0,No,No,18,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,52.53,1018.95,Yes
C00103,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Credit card (automatic),29.6,676.37,No
C00104,Female,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Credit card (automatic),107.99,5765.94,Yes
C00105,Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),80.77,805.11,Yes
C00106,Female,0,No,No,24,Yes,No phone service,Fiber optic,Yes,No,One year,Yes,Bank transfer (automatic),99.24,2366.62,No
C00107,Female,0,Yes,Yes,60,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Electronic check,55.9,3321.67,No
C00108,Female,0,Yes,Yes,57,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),59.84,3518.53,No
C00109,Male,0,Yes,No,23,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),50.4,1132.86,No
C00110,Female,1,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.72,1356.97,Yes
C00111,Male,0,Yes,No,68,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.26,5545.4,Yes
C00112,Female,0,No,No,34,Yes,No phone service,No,No,Yes,Month-to-month,No,Electronic check,68.28,2369.97,No
C00113,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),103.47,7220.74,Yes
C00114,Male,0,No,Yes,28,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,109.81,3112.71,No
C00115,Female,0,Yes,No,39,Yes,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,65.91,2558.52,No
C00116,Male,1,Yes,No,42,Yes,No,DSL,Yes,Yes,One year,Yes,Credit card (automatic),42.45,1774.26,No
C00117,Female,0,No,No,23,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),114.41,2591.16,No
C00118,Female,0,No,Yes,70,No,Yes,DSL,No internet service,Yes,Two year,Yes,Bank transfer (automatic),92.97,6386.25,No
C00119,Male,0,Yes,No,2,Yes,No phone service,No,No,No,Month-to-month,No,Electronic check,83.29,95.34,Yes
C00120,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),94.03,2201.49,No
C00121,Male,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,No internet service,One year,Yes,Electronic check,25.75,458.7,No
C00122,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,Yes,Two year,No,Electronic check,24.9,1626.17,No
C00123,Male,1,Yes,No,70,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,33.62,2407.71,Yes
C00124,Male,0,No,No,69,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,33.04,2219.59,No
C00125,Female,0,Yes,No,60,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),60.91,3743.94,No
C00126,Female,0,No,No,50,Yes,No phone service,Fiber optic,Yes,No,One year,Yes,Mailed check,34.06,1787.72,No
C00127,Male,0,Yes,No,12,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),105.16,1263.69,No
C00128,Female,0,No,Yes,47,Yes,Yes,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card (automatic),76.97,3583.28,No
C00129,Female,0,No,Yes,67,No,No phone service,DSL,No internet service,No,One year,Yes,Mailed check,55.56,3690.79,No
C00130,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Electronic check,25.1,1641.41,No
C00131,Male,0,No,No,27,Yes,No phone service,Fiber optic,No,No internet service,One year,No,Bank transfer (automatic),78.28,2207.69,No
C00132,Male,0,Yes,No,48,Yes,Yes,No,No internet service,No,Two year,Yes,Mailed check,29.89,1429.97,No
C00133,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,93.81,5737.12,No
C00134,Male,1,Yes,Yes,44,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),99.88,4489.49,No
C00135,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,73.49,1376.29,No
C00136,Male,0,Yes,No,59,Yes,No,DSL,No internet service,No,Month-to-month,No,Bank transfer (automatic),33.26,2035.03,No
C00137,Male,0,No,No,8,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,98.26,817.37,No
C00138,Male,1,Yes,No,55,Yes,No phone service,Fiber optic,No,No internet service,One year,Yes,Credit card (automatic),49.4,2709.58,No
C00139,Male,1,No,No,47,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.71,1961.67,No
C00140,Female,0,No,No,2,Yes,No,DSL,No,Yes,One year,Yes,Bank transfer (automatic),66.0,95.26,No
C00141,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No internet service,No,Two year,No,Mailed check,112.11,4357.74,No
C00142,Female,0,No,Yes,45,No,No,DSL,No internet service,No,Month-to-month,No,Credit card (automatic),48.33,2148.31,No
C00143,Female,0,Yes,No,32,Yes,No phone service,DSL,Yes,No,Two year,Yes,Bank transfer (automatic),110.37,3521.81,No
C00144,Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card (automatic),23.47,1552.94,No
C00145,Male,0,No,Yes,38,Yes,No,DSL,No,Yes,Two year,No,Credit card (automatic),26.52,1034.77,No
C00146,Male,0,No,No,11,Yes,Yes,Fiber optic,No internet service,Yes,Two year,Yes,Bank transfer (automatic),89.25,903.98,No
C00147,Male,0,Yes,No,10,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Electronic check,37.44,347.62,Yes
C00148,Male,0,No,No,59,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,50.3,2949.56,No
C00149,Female,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),31.91,1784.36,Yes
C00150,Male,0,No,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,No,Credit card (automatic),51.89,967.78,No
C00151,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,Two year,Yes,Mailed check,46.61,827.69,No
C00152,Male,0,No,Yes,68,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),93.11,6275.14,Yes
C00153,Male,0,No,Yes,5,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,89.61,460.47,Yes
C00154,Male,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,115.4,6979.72,No
C00155,Female,1,Yes,Yes,23,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Credit card (automatic),91.89,2052.13,Yes
C00156,Male,0,No,No,46,Yes,No phone service,Fiber optic,No,Yes,Two year,No,Electronic check,88.87,4100.11,No
C00157,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,88.81,4608.85,Yes
C00158,Male,0,Yes,Yes,10,Yes,Yes,DSL,No internet service,No,Two year,Yes,Mailed check,108.06,1031.73,No
C00159,Female,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),48.22,2156.87,No
C00160,Male,0,Yes,Yes,28,Yes,No phone service,No,No internet service,No internet service,Two year,No,Credit card (automatic),48.61,1325.7,No
C00161,Male,0,Yes,No,43,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.6,3984.28,No
C00162,Female,1,No,Yes,26,Yes,Yes,No,No,No internet service,Month-to-month,No,Mailed check,41.33,1064.3,No
C00163,Female,0,No,No,55,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),111.03,6085.32,No
C00164,Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,No internet service,One year,No,Credit card (automatic),72.55,3503.58,No
C00165,Male,1,Yes,No,29,Yes,No,Fiber optic,No,No internet service,One year,Yes,Mailed check,48.61,1450.11,No
C00166,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,97.16,2546.87,Yes
C00167,Male,1,Yes,No,18,No,No,Fiber optic,No internet service,Yes,Two year,No,Electronic check,49.86,884.95,Yes
C00168,Male,0,Yes,Yes,60,No,No phone service,DSL,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),116.25,6927.5,No
C00169,Female,0,Yes,Yes,69,No,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,118.26,8105.68,No
C00170,Female,0,No,Yes,21,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),86.01,1727.77,Yes
C00171,Male,1,No,No,24,Yes,No phone service,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.59,628.03,Yes
C00172,Male,1,No,Yes,3,No,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,44.85,108.59,Yes
C00173,Female,0,Yes,No,62,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),70.57,4394.99,No
C00174,Female,0,Yes,No,2,Yes,No phone service,Fiber optic,No internet service,No,Two year,Yes,Mailed check,104.85,229.17,No
C00175,Female,0,Yes,No,66,Yes,No phone service,No,Yes,No,Two year,Yes,Electronic check,36.86,2380.13,No
C00176,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),28.65,1145.61,No
C00177,Male,0,Yes,Yes,34,Yes,No phone service,DSL,Yes,No,One year,Yes,Electronic check,25.6,882.36,No
C00178,Male,0,Yes,Yes,42,Yes,No phone service,No,Yes,Yes,One year,No,Mailed check,69.71,2906.23,No
C00179,Male,0,No,No,20,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),108.24,2209.29,No
C00180,Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No,No internet service,One year,No,Credit card (automatic),22.32,1462.22,No
C00181,Male,1,No,Yes,45,Yes,Yes,DSL,Yes,No internet service,One year,No,Credit card (automatic),39.66,1691.81,No
C00182,Female,0,No,Yes,42,Yes,No phone service,DSL,No internet service,No internet service,One year,No,Mailed check,88.71,3756.44,No
C00183,Male,0,Yes,No,47,Yes,No phone service,Fiber optic,No,No internet service,One year,Yes,Electronic check,102.24,4710.78,No
C00184,Male,0,No,Yes,5,No,No,Fiber optic,Yes,Yes,One year,Yes,Electronic check,100.35,429.46,No
C00185,Male,1,Yes,No,49,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,98.08,4772.46,No
C00186,Female,1,No,No,37,Yes,No phone service,No,No,Yes,Two year,Yes,Credit card (automatic),31.24,1141.63,No
C00187,Male,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,Month-to-month,No,Credit card (automatic),58.52,2019.75,No
C00188,Male,0,No,Yes,70,Yes,Yes,DSL,No,No internet service,Two year,No,Electronic check,118.44,8240.09,No
C00189,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card (automatic),118.87,2205.55,No
C00190,Male,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),79.45,1433.75,No
C00191,Male,0,No,No,40,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,90.35,3595.4,No
C00192,Male,0,No,No,17,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Mailed check,115.03,1997.02,No
C00193,Male,0,Yes,No,60,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),63.89,3877.55,No
C00194,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),31.96,1194.57,No
C00195,Female,0,No,Yes,65,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Bank transfer (automatic),86.23,5740.35,No
C00196,Female,0,Yes,Yes,53,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Electronic check,115.93,6128.18,Yes
C00197,Female,0,No,No,7,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,89.12,637.76,Yes
C00198,Male,1,Yes,Yes,5,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,99.94,483.02,No
C00199,Male,0,No,Yes,24,Yes,Yes,DSL,No,No internet service,One year,Yes,Mailed check,61.12,1573.64,Yes
C00200,Male,1,Yes,No,28,Yes,No,Fiber optic,No internet service,Yes,One year,No,Credit card (automatic),27.84,843.99,No
C00201,Female,0,No,No,62,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),35.23,2289.64,No
C00202,Male,0,No,No,17,Yes,No,Fiber optic,No internet service,Yes,Two year,Yes,Electronic check,118.23,2033.57,No
C00203,Male,0,No,No,20,Yes,No phone service,Fiber optic,No internet service,Yes,One year,No,Credit card (automatic),68.3,1411.61,No
C00204,Female,0,No,Yes,3,Yes,No phone service,Fiber optic,No,No,Two year,Yes,Electronic check,19.23,5.46,No
C00205,Male,0,Yes,No,37,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),115.45,4258.42,No
C00206,Female,0,No,Yes,15,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,68.77,1077.2,Yes
C00207,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,103.3,5284.21,No
C00208,Female,0,Yes,No,48,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.94,3554.41,No
C00209,Male,0,No,Yes,8,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.37,188.18,No
C00210,Male,0,Yes,No,13,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.79,1108.54,No
C00211,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,No internet service,One year,No,Mailed check,119.73,5804.6,No
C00212,Male,0,Yes,No,3,Yes,Yes,DSL,Yes,No,One year,No,Credit card (automatic),21.54,116.73,No
C00213,Male,0,No,No,65,Yes,No,No,Yes,Yes,Two year,No,Electronic check,103.86,6765.5,No
C00214,Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Two year,No,Bank transfer (automatic),42.02,1303.13,No
